blockchain,num_swaps,period,unique_swap_addresses,volume
unichain,95257,2025-05-07 00:00:00.000 UTC,6151,351322468.5714342
bnb,13136,2025-03-02 00:00:00.000 UTC,4668,781090.6465233767
optimism,11455,2025-04-26 00:00:00.000 UTC,1602,165558.62816546837
ethereum,11502,2025-04-19 00:00:00.000 UTC,3979,153755375.26774392
avalanche_c,516,2025-02-05 00:00:00.000 UTC,135,6677.945462846144
worldchain,8978,2025-03-29 00:00:00.000 UTC,27,1825.0034896977381
zora,2,2025-02-19 00:00:00.000 UTC,1,0.29760659829319075
optimism,28734,2025-05-23 00:00:00.000 UTC,2756,1606233.3674482722
unichain,4573,2025-03-04 00:00:00.000 UTC,633,290658.5349085766
polygon,36288,2025-04-25 00:00:00.000 UTC,4305,3366218.302244118
avalanche_c,980,2025-05-03 00:00:00.000 UTC,260,7495.049346418272
optimism,12631,2025-03-06 00:00:00.000 UTC,1312,159521.29836766457
avalanche_c,1977,2025-03-08 00:00:00.000 UTC,702,40516.6930914309
worldchain,49348,2025-05-23 00:00:00.000 UTC,238,39211.58718014419
bnb,23844,2025-05-11 00:00:00.000 UTC,3991,6666578.479111471
unichain,9722,2025-03-31 00:00:00.000 UTC,5336,75326.4803773138
ethereum,10913,2025-03-27 00:00:00.000 UTC,4290,101488906.04404873
polygon,15643,2025-02-16 00:00:00.000 UTC,2049,1003352.4972837192
unichain,158371,2025-05-23 00:00:00.000 UTC,11516,513479285.7244561
blast,26,2025-05-16 00:00:00.000 UTC,17,2.299476742419079
unichain,156,2025-01-31 00:00:00.000 UTC,85,148027.7694967502
zora,159,2025-03-24 00:00:00.000 UTC,32,304.85131139675747
blast,23,2025-06-03 00:00:00.000 UTC,17,2.213713354202142
blast,12,2025-05-03 00:00:00.000 UTC,12,0.7397116816305477
worldchain,50014,2025-04-27 00:00:00.000 UTC,85,14926.463608382424
optimism,10035,2025-03-28 00:00:00.000 UTC,1290,135726.90788780386
unichain,577,2025-02-10 00:00:00.000 UTC,169,248859.2602738951
blast,21,2025-02-25 00:00:00.000 UTC,8,2.8940320029719104
arbitrum,32910,2025-04-21 00:00:00.000 UTC,3335,9019637.380321337
polygon,26131,2025-03-24 00:00:00.000 UTC,3887,1282135.9183114124
unichain,142,2025-02-05 00:00:00.000 UTC,63,124011.16927448535
bnb,5660,2025-02-16 00:00:00.000 UTC,1711,164843.60425581073
blast,4,2025-02-14 00:00:00.000 UTC,3,0.4666781136363343
bnb,26381,2025-05-15 00:00:00.000 UTC,4776,17809027.182060085
arbitrum,32778,2025-04-02 00:00:00.000 UTC,2867,13559690.551677156
arbitrum,25368,2025-05-04 00:00:00.000 UTC,2960,12603711.250429666
optimism,9163,2025-03-31 00:00:00.000 UTC,1948,126424.20175249889
optimism,32730,2025-05-29 00:00:00.000 UTC,4654,1567260.3791118667
zora,152,2025-04-04 00:00:00.000 UTC,7,1207.6547897263931
ethereum,14527,2025-02-28 00:00:00.000 UTC,5676,44648007.27756161
ethereum,8422,2025-02-06 00:00:00.000 UTC,4720,9637220.777643643
polygon,37589,2025-05-16 00:00:00.000 UTC,4166,7127648.099194664
polygon,51232,2025-05-13 00:00:00.000 UTC,5919,6077086.859214489
avalanche_c,309,2025-02-04 00:00:00.000 UTC,69,2193.524323126518
avalanche_c,1652,2025-05-08 00:00:00.000 UTC,487,46952.391612175554
avalanche_c,3551,2025-06-04 00:00:00.000 UTC,1072,51603.97031183555
zora,53,2025-03-29 00:00:00.000 UTC,15,99.72183848172523
zora,31,2025-05-27 00:00:00.000 UTC,5,31.203032594449173
ethereum,17,2025-01-29 00:00:00.000 UTC,10,1537.3201002026653
base,74033,2025-04-29 00:00:00.000 UTC,13358,16858508.00393989
optimism,11161,2025-05-02 00:00:00.000 UTC,1618,178799.5761639177
base,66469,2025-04-02 00:00:00.000 UTC,9812,6503913.475538394
optimism,7451,2025-04-21 00:00:00.000 UTC,1500,103950.57103342554
ethereum,16044,2025-06-02 00:00:00.000 UTC,6105,283027139.80482465
avalanche_c,1859,2025-03-02 00:00:00.000 UTC,520,35869.516961183755
polygon,20040,2025-02-11 00:00:00.000 UTC,2966,1650132.0272348444
worldchain,34,2025-03-04 00:00:00.000 UTC,9,94.11713207867672
worldchain,9970,2025-03-17 00:00:00.000 UTC,20,137.8971531647057
optimism,14083,2025-03-25 00:00:00.000 UTC,1372,115692.02626859935
avalanche_c,1360,2025-04-19 00:00:00.000 UTC,255,8663.92649180897
optimism,9320,2025-02-03 00:00:00.000 UTC,278,1071126.1307948183
avalanche_c,896,2025-04-06 00:00:00.000 UTC,297,12877.475605794501
blast,41,2025-05-13 00:00:00.000 UTC,20,5.774187265593679
blast,1,2025-01-24 00:00:00.000 UTC,1,1.000889
zora,27,2025-05-16 00:00:00.000 UTC,3,31.69102860906668
ethereum,8753,2025-02-04 00:00:00.000 UTC,4765,10684484.5051475
base,31300,2025-03-01 00:00:00.000 UTC,7543,1188646.142596029
optimism,32994,2025-05-12 00:00:00.000 UTC,2937,1849857.2883188855
optimism,9782,2025-05-04 00:00:00.000 UTC,1661,133355.28185802267
base,24484,2025-02-10 00:00:00.000 UTC,4817,3067066.3102712715
bnb,8866,2025-03-31 00:00:00.000 UTC,1529,635205.5435980619
arbitrum,25288,2025-03-20 00:00:00.000 UTC,2837,6815095.86393436
ethereum,10558,2025-04-01 00:00:00.000 UTC,4106,73137335.80585085
base,32818,2025-04-05 00:00:00.000 UTC,5927,1707344.8579946412
polygon,50851,2025-05-08 00:00:00.000 UTC,6035,6102564.370821053
unichain,13342,2025-04-05 00:00:00.000 UTC,3973,47556.75203052792
worldchain,47615,2025-04-24 00:00:00.000 UTC,72,7840.8544658694755
polygon,15860,2025-03-15 00:00:00.000 UTC,2762,635489.6995515263
polygon,19254,2025-02-14 00:00:00.000 UTC,2218,1481195.0147965504
blast,22,2025-03-29 00:00:00.000 UTC,13,2.4952529548387985
worldchain,17,2025-02-13 00:00:00.000 UTC,4,27.98752240374082
base,58935,2025-03-14 00:00:00.000 UTC,10993,8947886.384368625
unichain,23395,2025-04-18 00:00:00.000 UTC,5596,53982854.400623806
worldchain,40908,2025-03-26 00:00:00.000 UTC,36,1840.770146056503
avalanche_c,354,2025-02-19 00:00:00.000 UTC,79,1166.699786857592
zora,17,2025-06-02 00:00:00.000 UTC,3,23.418304628966695
base,56984,2025-03-04 00:00:00.000 UTC,11498,3106970.903630165
unichain,79213,2025-05-02 00:00:00.000 UTC,5586,254950134.99414685
arbitrum,67782,2025-05-20 00:00:00.000 UTC,4782,47135018.793716505
bnb,15662,2025-03-26 00:00:00.000 UTC,4556,1070756.1508544993
optimism,13746,2025-03-07 00:00:00.000 UTC,1208,183258.95979617734
blast,7,2025-04-16 00:00:00.000 UTC,4,1.103830626252416
