average_block_time_14ma,day,difficulty_14ma,hash_rate_14ma
10.007575757575758,2010-01-01 00:00:00.000 UTC,1.1828995343128412,8.461114755124921e-12
10.797438672438673,2010-01-02 00:00:00.000 UTC,1.182899534312841,7.884352278277287e-12
9.615855172306786,2010-01-03 00:00:00.000 UTC,1.182899534312841,9.147906689203532e-12
9.082057125086443,2010-01-04 00:00:00.000 UTC,1.182899534312841,9.690734243248164e-12
8.616150750574205,2010-01-05 00:00:00.000 UTC,1.182899534312841,1.026054534333152e-11
8.573786157175846,2010-01-06 00:00:00.000 UTC,1.182899534312841,1.0238161134799881e-11
8.609627466818628,2010-01-07 00:00:00.000 UTC,1.1828995343128408,1.0146321235845501e-11
8.652705079217935,2010-01-08 00:00:00.000 UTC,1.182899534312841,1.0060085166815048e-11
8.694972579613882,2010-01-09 00:00:00.000 UTC,1.182899534312841,9.983839330645932e-12
8.536001637441966,2010-01-10 00:00:00.000 UTC,1.1828995343128412,1.017718109476922e-11
8.54387798944124,2010-01-11 00:00:00.000 UTC,1.1836678525347197,1.015109801736884e-11
8.54520052596055,2010-01-12 00:00:00.000 UTC,1.1937840424561201,1.0214662394702307e-11
8.527652267866022,2010-01-13 00:00:00.000 UTC,1.2023438954665358,1.0292943369046882e-11
8.586366416564903,2010-01-14 00:00:00.000 UTC,1.2096809123326064,1.0271434273416179e-11
8.585318705410808,2010-01-15 00:00:00.000 UTC,1.2184068121382268,1.0334828137856414e-11
8.543940020603552,2010-01-16 00:00:00.000 UTC,1.2271327119438469,1.0419039865083515e-11
8.775072981051952,2010-01-17 00:00:00.000 UTC,1.2358586117494672,1.0221314084532596e-11
9.027025625092994,2010-01-18 00:00:00.000 UTC,1.2445845115550873,1.0018981018620239e-11
9.33732912088036,2010-01-19 00:00:00.000 UTC,1.2533104113607076,9.724614719126186e-12
9.363011677820198,2010-01-20 00:00:00.000 UTC,1.262036311166328,9.76641437592887e-12
9.280432828098492,2010-01-21 00:00:00.000 UTC,1.2707622109719483,9.951193456191491e-12
9.385204561353197,2010-01-22 00:00:00.000 UTC,1.2794881107775686,9.916058559805303e-12
9.34489294829738,2010-01-23 00:00:00.000 UTC,1.288214010583189,1.003443496304925e-11
9.470027212529388,2010-01-24 00:00:00.000 UTC,1.2969399103888093,9.936589308011738e-12
9.308423502816941,2010-01-25 00:00:00.000 UTC,1.3063613727017453,1.0293924320157971e-11
9.188587992415394,2010-01-26 00:00:00.000 UTC,1.309158718357424,1.0513061171546054e-11
9.187716912276022,2010-01-27 00:00:00.000 UTC,1.311956064013103,1.0538350651670203e-11
9.065486035807858,2010-01-28 00:00:00.000 UTC,1.314753409668782,1.0724455970591088e-11
8.837203643900883,2010-01-29 00:00:00.000 UTC,1.317550755324461,1.1067899379253654e-11
8.503298881996121,2010-01-30 00:00:00.000 UTC,1.3203481009801397,1.1546942945895886e-11
8.34112975341478,2010-01-31 00:00:00.000 UTC,1.3231454466358186,1.1747067338899945e-11
8.074642175775029,2010-02-01 00:00:00.000 UTC,1.3259427922914977,1.2085358417899876e-11
7.955414462442755,2010-02-02 00:00:00.000 UTC,1.3287401379471766,1.2213066565178598e-11
7.682977921018873,2010-02-03 00:00:00.000 UTC,1.3315374836028553,1.2848519855739194e-11
7.550693810868262,2010-02-04 00:00:00.000 UTC,1.336998467492077,1.3192780177085857e-11
7.231701262232098,2010-02-05 00:00:00.000 UTC,1.3736832106744976,1.411393456982658e-11
7.129766738422575,2010-02-06 00:00:00.000 UTC,1.410367953856918,1.4646542916323382e-11
6.933914203860362,2010-02-07 00:00:00.000 UTC,1.4470526970393387,1.5413767055578645e-11
6.966400662898954,2010-02-08 00:00:00.000 UTC,1.4824381991115387,1.571445281516334e-11
6.939628883953262,2010-02-09 00:00:00.000 UTC,1.5163255966382805,1.6144753365722588e-11
6.9238042614213215,2010-02-10 00:00:00.000 UTC,1.5502129941650222,1.6467529155258183e-11
6.950899504292314,2010-02-11 00:00:00.000 UTC,1.584100391691764,1.6727505753680795e-11
6.9856994107740045,2010-02-12 00:00:00.000 UTC,1.6179877892185055,1.699288977452774e-11
6.941877571693545,2010-02-13 00:00:00.000 UTC,1.6518751867452472,1.7533386273714662e-11
6.8208673319333055,2010-02-14 00:00:00.000 UTC,1.6860060903430492,1.812505128119398e-11
6.8517997147678615,2010-02-15 00:00:00.000 UTC,1.7705427506502869,1.8856853630322415e-11
6.674005095593932,2010-02-16 00:00:00.000 UTC,1.8550794109575244,1.9990540692801883e-11
6.716781434395375,2010-02-17 00:00:00.000 UTC,1.939616071264762,2.093720966009553e-11
6.760788464483191,2010-02-18 00:00:00.000 UTC,2.021489093338457,2.1731977816643756e-11
6.838396301339907,2010-02-19 00:00:00.000 UTC,2.072138356118953,2.200592622523654e-11
6.7945547262483315,2010-02-20 00:00:00.000 UTC,2.122787618899449,2.2696066732614782e-11
6.789208395614241,2010-02-21 00:00:00.000 UTC,2.1734368816799448,2.331514107397172e-11
6.662312791218637,2010-02-22 00:00:00.000 UTC,2.2240861444604407,2.4515834193538193e-11
6.5786523357320945,2010-02-23 00:00:00.000 UTC,2.2747354072409367,2.5508961262208098e-11
6.5710291110036065,2010-02-24 00:00:00.000 UTC,2.3814073061763494,2.6481636057333998e-11
6.631449459885494,2010-02-25 00:00:00.000 UTC,2.5215880715969456,2.7503055113482767e-11
6.673860457834045,2010-02-26 00:00:00.000 UTC,2.6617688370175423,2.8680595251258317e-11
6.822610314633221,2010-02-27 00:00:00.000 UTC,2.8019496024381385,2.953277273963194e-11
6.981149691922597,2010-02-28 00:00:00.000 UTC,2.9418868617876752,3.031592874868966e-11
6.928221370244275,2010-03-01 00:00:00.000 UTC,3.0314183644277755,3.1413758537631625e-11
6.945534907770579,2010-03-02 00:00:00.000 UTC,3.1209498670678757,3.224338287391891e-11
7.197436235357329,2010-03-03 00:00:00.000 UTC,3.2104813697079764,3.2036488850770655e-11
7.258035433456527,2010-03-04 00:00:00.000 UTC,3.3000128723480766,3.26825941047377e-11
7.316045040808239,2010-03-05 00:00:00.000 UTC,3.389544374988177,3.330882598732092e-11
7.408968536803769,2010-03-06 00:00:00.000 UTC,3.479075877628277,3.379960673734048e-11
7.5162214437284955,2010-03-07 00:00:00.000 UTC,3.5686073802683778,3.422338456877972e-11
7.943759905266957,2010-03-08 00:00:00.000 UTC,3.708275221348661,3.373753010297089e-11
8.234828398417642,2010-03-09 00:00:00.000 UTC,3.851371188134256,3.377717980570903e-11
8.261190600218441,2010-03-10 00:00:00.000 UTC,3.9384445187649346,3.443014005019186e-11
