id,name,symbol
59,SigmaUSD,SIGUSD
6,Frax,FRAX
60,HomeCoin,HOME
61,Fixed Income Asset Token,FIAT
62,PUSd,PUSD
63,Fantom USD,FUSD
64,UXD Stablecoin,UXD
65,USDH,USDH
66,Frax Price Index,FPI
67,Bean,BEAN
68,USDLemma,USDL
7,TrueUSD,TUSD
70,DigitalDollar,DUSD
71,Vesta Stable,VST
72,Kolibri USD,KUSD
73,USDtez,USDTZ
74,Moremoney USD,MONEY
75,Youves uUSD,UUSD
76,Interest Protocol,USDI
78,Note,NOTE
79,Lista USD,LISUSD
8,Liquity USD,LUSD
81,USK,USK
82,arUSD,ARUSD
83,USDW,USDW
84,BOB,BOB
85,Real USD,USDR
87,USDi,USDI
88,iUSD,IUSD
89,XAI,XAI
9,Fei USD,FEI
90,Redeemable USD,RUSD
91,Iron Bank EURO,IBEUR
92,Meme Dollar,PINA
93,Djed StableCoin,DJED
94,BaoUSD,BAOUSD
96,Coin98 Dollar,CUSD
97,USP Stablecoin,USP
98,EUROe Stablecoin,EUROe
99,Stabl.fi Cash,CASH
