Timestamp,Date,Measure,bIB01,BENJI,WTSYX,FLTTX,WTSTX,WTLGX,WTTSX,TIPSX,WTGXX,BUIDL,XTBT,XEVT,bCSPX,SKHC,PARAVII,NOTE,XRV,ACRED,EQTYX,MODRX,LNGVX,WTSIX,SPXUX,TECHX,RE,VBILL,XFTB
1669939200000,2022-12-02,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1670025600000,2022-12-03,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1670112000000,2022-12-04,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1670198400000,2022-12-05,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1670284800000,2022-12-06,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1670371200000,2022-12-07,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1670457600000,2022-12-08,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1670544000000,2022-12-09,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1670630400000,2022-12-10,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1670716800000,2022-12-11,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1670803200000,2022-12-12,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1670889600000,2022-12-13,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1670976000000,2022-12-14,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1671062400000,2022-12-15,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1671148800000,2022-12-16,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1671235200000,2022-12-17,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1671321600000,2022-12-18,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1671408000000,2022-12-19,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1671494400000,2022-12-20,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1671580800000,2022-12-21,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1671667200000,2022-12-22,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1671753600000,2022-12-23,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1671840000000,2022-12-24,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1671926400000,2022-12-25,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1672012800000,2022-12-26,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1672099200000,2022-12-27,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1672185600000,2022-12-28,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1672272000000,2022-12-29,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1672358400000,2022-12-30,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1672444800000,2022-12-31,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1672531200000,2023-01-01,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1672617600000,2023-01-02,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1672704000000,2023-01-03,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1672790400000,2023-01-04,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1672876800000,2023-01-05,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1672963200000,2023-01-06,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1673049600000,2023-01-07,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1673136000000,2023-01-08,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1673222400000,2023-01-09,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1673308800000,2023-01-10,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1673395200000,2023-01-11,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1673481600000,2023-01-12,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1673568000000,2023-01-13,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1673654400000,2023-01-14,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1673740800000,2023-01-15,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1673827200000,2023-01-16,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1673913600000,2023-01-17,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1674000000000,2023-01-18,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1674086400000,2023-01-19,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1674172800000,2023-01-20,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1674259200000,2023-01-21,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1674345600000,2023-01-22,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1674432000000,2023-01-23,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1674518400000,2023-01-24,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1674604800000,2023-01-25,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1674691200000,2023-01-26,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1674777600000,2023-01-27,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1674864000000,2023-01-28,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1674950400000,2023-01-29,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1675036800000,2023-01-30,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1675123200000,2023-01-31,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1675209600000,2023-02-01,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1675296000000,2023-02-02,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1675382400000,2023-02-03,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1675468800000,2023-02-04,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1675555200000,2023-02-05,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1675641600000,2023-02-06,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1675728000000,2023-02-07,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1675814400000,2023-02-08,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1675900800000,2023-02-09,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1675987200000,2023-02-10,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1676073600000,2023-02-11,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1676160000000,2023-02-12,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1676246400000,2023-02-13,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1676332800000,2023-02-14,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1676419200000,2023-02-15,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1676505600000,2023-02-16,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1676592000000,2023-02-17,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1676678400000,2023-02-18,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1676764800000,2023-02-19,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1676851200000,2023-02-20,Bridged Token Value (Dollar),,,,,,,,,,,,,,325000.00,,,,,,,,,,,,,
1676937600000,2023-02-21,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1677024000000,2023-02-22,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1677110400000,2023-02-23,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1677196800000,2023-02-24,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1677283200000,2023-02-25,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1677369600000,2023-02-26,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1677456000000,2023-02-27,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1677542400000,2023-02-28,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1677628800000,2023-03-01,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1677715200000,2023-03-02,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1677801600000,2023-03-03,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1677888000000,2023-03-04,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1677974400000,2023-03-05,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1678060800000,2023-03-06,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1678147200000,2023-03-07,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1678233600000,2023-03-08,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1678320000000,2023-03-09,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1678406400000,2023-03-10,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1678492800000,2023-03-11,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1678579200000,2023-03-12,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1678665600000,2023-03-13,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1678752000000,2023-03-14,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1678838400000,2023-03-15,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1678924800000,2023-03-16,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1679011200000,2023-03-17,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1679097600000,2023-03-18,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1679184000000,2023-03-19,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1679270400000,2023-03-20,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1679356800000,2023-03-21,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1679443200000,2023-03-22,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
1679529600000,2023-03-23,Bridged Token Value (Dollar),,,,,,,,,,,,,,345000.00,,,,,,,,,,,,,
